,name,Chukar.Occurrence
590,El Morro Mesa,A
591,El Morro Ranch,A
592,El Morro Ranch NW,A
593,El Morro Ranch SE,A
594,El Paso Canyon,A
595,El Paso Draw,A
596,El Paso Gap,A
597,El Porvenir,A
598,El Rito,A
599,El Vado,A
600,El Valle,A
601,Elephant Butte,A
602,Elephant Mountain,A
603,Elida,A
604,Elida SE,A
605,Elk,A
606,Elk Mountain,A
607,Elk-Silver,A
608,Elkins,A
609,Elsie Canyon,A
610,Elwood,A
611,Emery Peak,A
612,Encino,A
613,Encino Draw,A
614,Encinoso,A
615,Endee Hill,A
616,Engine Mountain,A
617,Engle,A
618,Escabosa,A
619,Escondido Mountains,A
620,Escudilla Mountain,A
621,Espanola,A
622,Espinosa Ranch,A
623,Espuela,A
624,Estancia,A
625,Eunice,A
626,Eunice NE,A
627,Eunice SE,A
628,Ewing,A
629,Fairview Mountain,A
630,Fairview Well,A
631,Fallon Ranch,A
632,Farley,A
633,Farmington North,A
634,Farmington South,A
635,Farwell,A
636,Faywood Station,A
637,Felt SW,A
638,Fence Canyon,A
639,Fence Lake,A
640,Fence Lake SW,A
641,Fiddler Springs,A
642,Field,A
643,Field Ranch,A
644,Field SE,A
645,Field SW,A
646,Fifteenmile Lake,A
647,Fire Rock Well,A
648,Firman Canyon,A
649,Fitzpatricks,A
650,Five Lakes Canyon NE,A
651,Five Lakes Canyon NW,A
652,Flagstone Mountain,A
653,Fleck Draw,A
654,Flora Vista,A
655,Florida,A
656,Florida Gap,A
657,Floyd,A
658,Floyd SE,A
659,Flying H,A
660,Flying H NE,A
661,Flying H NW,A
662,Flying M Ranch,A
663,Flying W Mountain,A
664,Folsom,A
665,Forrest,A
666,Fort Bayard,A
667,Fort Craig,A
668,Fort Defiance,A
669,Fort Ranch,A
670,Fort Stanton,A
671,Fort Sumner East,A
672,Fort Sumner West,A
673,Fort Union,A
674,Fort Wingate,A
675,Foster Lake,A
676,Foster Ranch,A
677,Foster Well,A
678,Four V Ranch,A
679,Fourmile Canyon,A
680,French,A
681,French Mesa,A
682,Fresno Canyon,A
683,Frier Ranch,A
684,Frijoles,A
685,Fruitland,A
686,Frutosa Lake,A
687,Fuentes Ranch,A
688,Fuller Ranch,A
689,Fullerton,A
690,Gacho Hill,A
691,Gacho Hill NW,A
692,Gacho Hill SE,A
693,Gacho Hill SW,A
694,Gage,A
695,Gage NW,A
696,Gage SE,A
697,Gage SW,A
698,Galisteo,A
699,Gallegos,A
700,Gallegos NE,A
701,Gallegos Trading Post,A
702,Gallina,A
703,Gallinas Peak,A
704,Gallo Mountains East,A
705,Gallo Mountains West,A
706,Gallo Spring Canyon,A
707,Gallo Spring Canyon NE,A
708,Gallup East,A
709,Gallup West,A
710,Gammil Well,A
711,Gammil Well NE,A
712,Gammil Well SE,A
713,Garcia Creek,A
714,Garcia Peak,A
715,Garden Spring Canyon,A
716,Gardner Peak,A
717,Garfield,A
718,Garrett Ranch,A
719,Garrison,A
720,Garton Lake,A
721,Gary,A
722,Gascon,A
723,Gate Canyon,A
724,George Ranch,A
725,Ghost Ranch,A
726,Gibbons Ranch,A
727,Gila Hot Springs,A
728,Gillespie Mountain,A
729,Gilman,A
730,Gilmore Draw,A
731,Gladiola,A
732,Gladstone,A
733,Gladstone NW,A
734,Glenrio,A
735,Glenwood,A
736,Glorieta,A
737,Goat Camp Spring,A
738,Goat Canyon,A
739,Goat Hill,A
740,Goat Mountain,A
741,Goat Ridge,A
742,Goat Spring,A
743,Gobernador,A
744,Godfrey Peak,A
745,Goetsch Lake,A
746,Gold Hill,A
747,Golden,A
748,Golden Ranch,A
749,Goldenburg Draw,A
750,Golondrina Draw,A
751,Golondrina Well,A
752,Gomez Ranch,A
753,Gonzales Mesa,A
754,Good Sight Peak,A
755,Good Sight Peak NE,A
756,Goodson School,A
757,Gould Pass,A
758,Gowdy Ranch,A
759,Grady,A
760,Grady SW,A
761,Grama Ridge,A
762,Gran Quivira,A
763,Grandmother Mountain East,A
764,Grandmother Mountain West,A
765,Granite Mountain,A
766,Granjean Well,A
767,Granny Mountain,A
768,Grants,A
769,Grants SE,A
770,Granville Canyon,A
771,Grapevine Draw,A
772,Grassy Lookout,A
773,Great Bend,A
774,Greendailey Canyon,A
775,Greens Baber Well,A
776,Greenwood Lake,A
777,Greg Hills,A
778,Grenville,A
779,Grenville SW,A
780,Grey Hill Spring,A
781,Grouse Mountain,A
782,Guadalupe,A
783,Guadalupe Canyon,A
784,Guadalupe Mountain,A
785,Guadalupe Pass,A
786,Guadalupe Spring,A
787,Guadalupita,A
788,Guaje Mountain,A
789,Gunsight Canyon,A
790,Guy,A
791,Guzmans Lookout Mountain,A
792,Gym Peak,A
793,Hachita,A
794,Hachita Peak,A
795,Hackberry Hill,A
796,Hackberry Lake,A
797,Hackberry Ranch,A
798,Hagan,A
799,Hagerman,A
800,Hagerman SW,A
801,Hammond Ranch,A
802,Hammond Ranch SW,A
803,Hampton Ranch,A
804,Harben Lake,A
805,Hard Ground Flats,A
806,Harden Cienega,A
807,Hardscrabble Mountains,A
808,Harriet Ranch,A
809,Harvey Ranch,A
810,Hasperos Camp,A
811,Hassell,A
812,Hat Top Mountain,A
813,Hatch,A
814,Hatchet Ranch,A
815,Hay Mesa,A
816,Hayden,A
817,Haystack Butte,A
818,Haystack Mountain,A
819,Headcut Reservoir,A
820,Heart of the Sands,A
821,Heart of the Sands NE,A
822,Heart of the Sands NW,A
823,Heart of the Sands SW,A
824,Heart Rock,A
825,Heifer Point,A
826,Hembrillo Basin,A
827,Hembrillo Canyon,A
828,Hendricks Peak,A
829,Henshaw Tank,A
830,Hermanas,A
831,Hermanas NW,A
832,Hernandez Lake,A
833,Heron Reservoir,A
834,Herrera,A
835,Hickman Ranch,A
836,High Lonesome Well,A
837,High Rolls,A
838,Hillburn City,A
839,Hillburn City SW,A
840,Hillsboro,A
841,Hillsboro Peak,A
842,Hilo Peak,A
843,Hobbs East,A
844,Hobbs SE,A
845,Hobbs SW,A
846,Hobbs West,A
847,Hockett,A
848,Holloman,A
849,Holman,A
850,Holt Mountain,A
851,Holt Tank,A
852,Holy Ghost Spring,A
853,Hondo Reservoir,A
854,Honey Boy Ranch,A
855,Hope,A
856,Hope NE,A
857,Hope NW,A
858,Hope SE,A
859,Horcado Ranch,A
860,Horn Canyon,A
861,Horney Ranch,A
862,Horse Lake,A
863,Horse Mesa,A
864,Horse Mountain,A
865,Horse Mountain East,A
866,Horse Mountain West,A
867,Horse Pasture Tank,A
868,Horsehead Canyon,A
869,Horsehead Canyon NW,A
870,Horseshoe Bend,A
871,Horseshoe Bend NW,A
872,Hospah,A
873,Hosta Butte,A
874,House,A
875,House Canyon,A
876,House SE,A
877,Howell Ranch,A
878,Hubbell Spring,A
879,Hudson,A
880,Huerfanito Peak,A
881,Huerfano Hill,A
882,Huerfano Trading Post,A
883,Huerfano Trading Post NW,A
884,Huerfano Trading Post SW,A
885,Huff Hill,A
886,Hugh Lake,A
887,Humble City,A
888,Humble City NE,A
889,Humble City NW,A
890,Humble City SE,A
891,Hunter Mesa,A
892,Hunter Wash,A
