"","name","WAT","EN_FOR","DN_FOR","DB_FOR","MIX_FOR","CL_SHB","OP_SHB","WOOD_SAV","SAV","GRA","WETL","CROP","URB","NAT_CROP","SNOW","BAR","ELEV_MAX","ELEV_AVE","ELEV_MIN","SMAX","SAVG","ASP","BIO_1","BIO_2","BIO_3","BIO_4","BIO_5","BIO_6","BIO_7","BIO_8","BIO_9","BIO_10","BIO_11","BIO_12","BIO_13","BIO_14","BIO_15","BIO_16","BIO_17","BIO_18","BIO_19"
"1551","Rock Lake",0,0,0,0,0,0,6,0.11,0,93.89,0,0,0,0,0,0,"2223.44848632812","2117.1266113891","2004.15258789062",12.8983545303345,1.95253542438259,177.36725831079,9.98869785914818,17.8221458345652,44.9098720257704,802.32807773432,29.2752494812012,-10.4090003967285,39.6842498779297,19.1190416018168,5.30812475085258,20.0333333015442,0.23520827293396,357,75,13,67.1373072380956,182,43,169,49
"1552","Rock Tank Draw",0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,"1460.36657714844","1277.67141551076","1206.12048339844",19.710111618042,1.16158933321694,206.566130750459,15.5472290279965,21.272541411221,50.5847740524127,775.565560007062,36.4762496948242,-5.5770001411438,42.053249835968,24.6537079811096,19.0716251929601,25.2336665789286,6.30504147211711,325,62,6,66.4517396779125,161,23,131,76
"1553","Rocky Point",0,0,0,0,0,0,73.44,0,0,1.78,0,0,0,0,0,24.78,"1857.69360351562","1581.56666493906","1455",23.6648139953613,3.0458630947078,153.983471473338,12.0759583065907,17.374125212431,40.0528505014243,926.556282840759,32.9347496032715,-10.4432497024536,43.3779993057251,18.7887500127157,16.2416248122851,23.6732082366943,0.79283340771993,218,29,7,35.3744120663905,80,29,58,52
"1554","Rodeo",0,0,0,0,0,0,89.44,0,0,10.56,0,0,0,0,0,0,"1718.50903320312","1305.41565977967","1240.05517578125",36.3292922973633,2.23123687208488,159.989117445901,15.6589687267939,19.4776039918264,50.2576507404128,719.414707816203,34.7737503051758,-3.98175001144409,38.7555003166199,23.9195000330607,19.0773333708445,24.5505418777466,6.98466646671295,352,78,5,76.7287398154899,190,22,156,75
"1555","Rogers Ruins",0,16.33,0,0,1.22,4.56,38.11,19.89,0.11,15.11,0,3.56,0,1.11,0,0,"2864.748046875","2457.67895643186","1987.80212402344",31.6930961608887,9.40302570959363,172.527709770059,11.219557307971,15.3893853966147,45.7091803836643,673.606844041986,30.6529998779297,-7.22499990463257,33.660374879837,18.6260313987732,7.90430200472474,19.5603959560394,3.07719791928927,513.75,104,13.75,68.0191964296155,267.25,57.25,237,78.5
"1556","Romero Canyon",1.44,0,0,0,0,0,66.44,0,0,25.44,0,5.56,1.11,0,0,0,"1630.59069824219","1436.32559364397","1337.43237304688",11.7730045318604,2.39311086798244,149.360163557651,14.2404009217862,18.7024062246395,46.3805105652786,799.534859151702,34.4027481079102,-6.00500011444092,40.3229999542236,23.2093539237976,9.89620822264503,24.2013748486837,4.51904175678889,265,57,5,76.0495788932969,146.5,20,121,34
"1557","Romero Spring",0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,"2022.98779296875","1794.93824434843","1705",17.0117626190186,1.89429012836668,169.844403180925,10.8191354523102,17.2161874274413,43.4771416875041,823.412789298528,30.8675003051758,-8.73075008392334,39.5982503890991,21.1700000762939,0.861833413441976,21.1700000762939,0.861833413441976,398,78,6,76.5651674467646,205,23,205,23
"1558","Roof Butte",0,13.56,0,0,0,0.22,65.67,8.89,0.33,6.11,0,4.56,0,0.67,0,0,"2971.08544921875","2453.10906851937","1998.93859863281",38.6549453735352,11.8710848231058,168.384267217098,6.65592708686988,13.0444373985132,37.4627545039615,795.634305363608,23.7047500610352,-11.1149997711182,34.8197498321533,16.5424582163493,9.04137510061264,16.5736249287923,-2.6636666059494,427,57,14,36.8667525593903,152,51,124,109
"1559","Rosebud",0,0,0,0,0,0,0.11,0,0,97.11,0,2.78,0,0,0,0,"1511.68530273438","1457.08189601974","1415.21130371094",11.2111282348633,0.852334907764797,196.662952667526,12.5023332585891,17.0769166648388,42.6065473751452,845.040292987274,32.6554985046387,-7.42500019073486,40.0804986953735,23.0269578297933,2.18141674995422,23.0269578297933,2.18141674995422,401,76,7,71.5636861591261,199,27,199,27
"1560","Rosilla Peak",0,67.56,0,0,0.11,0.67,0.33,0.78,0,29.78,0,0.22,0,0.56,0,0,"3216.07153320312","2595.76930918203","2164.65771484375",39.8512535095215,13.7989245379811,182.514423584387,5.99536974184836,14.7815416067218,43.5918763429453,709.247246197972,25.5884990692139,-12.7790002822876,33.9066247940063,14.4190101921558,1.37443750848373,15.0269478658835,-2.27158335844676,585.25,105,25,53.3818682580532,264.5,93.25,249.5,103.5
