#,name,Chukar.Occurrence,Galbreath,Chukar.Occurrence.Regression
392,Evergreen Ridge,P,Y,1
393,Ewan,A,Y,0
394,Ewartsville,A,Y,0
395,Fairfield,A,Y,0
396,Fairview Ridge,A,Y,0
397,Fall City,A,N,0
398,Falling Springs,P,Y,1
399,False Bay,A,Y,0
400,Fan Lake,A,Y,0
401,Farmer,P,Y,1
402,Farmington,A,Y,0
403,Ferndale,A,Y,0
404,Fields Spring,P,Y,1
405,Findley Lake,A,N,0
406,Finley Creek,A,N,0
407,Finney Peak,A,Y,0
408,Fishtrap Lake,A,Y,0
409,Flora,P,N,1
410,Foothills,A,Y,0
411,Forbidden Peak,A,Y,0
412,Ford,A,Y,0
413,Forest Center,A,Y,0
414,Forks,A,Y,0
415,Fort Lewis,A,Y,0
416,Fort Simcoe,A,Y,0
417,Fort Spokane,A,Y,0
418,Fortson,A,Y,0
419,Foster Coulee,P,Y,1
420,Foundation Ridge,A,Y,0
421,Four Lakes,A,Y,0
422,Four Mound Prairie,A,Y,0
423,Fox Island,A,Y,0
424,Frederickson,A,Y,0
425,Freeland,A,Y,0
426,Freeman,A,Y,0
427,French Butte,A,N,0
428,Frenchman Hills Lake,P,Y,1
429,Friday Harbor,A,Y,0
430,Friedlander Meadows,A,N,0
431,Frischknecht,P,Y,1
432,Frost Mountain,A,Y,0
433,Frosty Creek,A,Y,0
434,Frosty Meadow,A,N,0
435,Gable Butte,P,Y,1
436,Galena Point,A,N,0
437,Gamma Peak,A,N,0
438,Gardiner,A,N,0
439,Garfield,A,Y,0
440,Gee Point,A,Y,0
441,George,P,Y,1
442,Georges Peak,A,N,0
443,Gifford Peak,A,N,0
444,Gig Harbor,A,Y,0
445,Gilbert,A,Y,0
446,Gillette Mountain,A,Y,0
447,Ginkgo,P,Y,1
448,Glaciate Butte,A,N,0
449,Glacier,A,Y,0
450,Glacier Peak East,A,N,0
451,Glacier Peak West,A,N,0
452,Glade,P,Y,1
453,Gleason Mountain,A,N,0
454,Glenoma,A,N,0
455,Glenwood,A,Y,0
456,Gloyd,P,Y,1
457,Goat Mountain,A,N,0
458,Goddards Peak,A,Y,0
459,Godman Spring,P,Y,1
460,Gold Bar,A,N,0
